open,high,low,close,volume,date,RSI,symbol
199.0,200.5399,197.535,198.53,36453923,2025-05-09,43.8694,AAPL
197.72,200.05,194.6796,197.49,50478872,2025-05-08,42.7637,AAPL
199.17,199.44,193.25,196.25,68616943,2025-05-07,41.4875,AAPL
198.21,200.65,197.02,198.51,51216482,2025-05-06,43.1144,AAPL
203.1,204.1,198.21,198.89,69018452,2025-05-05,43.38,AAPL
206.09,206.99,202.16,205.35,101010621,2025-05-02,48.0526,AAPL
209.08,214.56,208.9,213.32,57365675,2025-05-01,54.8171,AAPL
209.3,213.58,206.6705,212.5,52286454,2025-04-30,54.2012,AAPL
208.693,212.24,208.37,211.21,36827633,2025-04-29,53.2706,AAPL
210.0,211.5,207.46,210.14,38743074,2025-04-28,52.5277,AAPL
206.365,209.75,206.2,209.28,38222258,2025-04-25,51.9577,AAPL
204.89,208.8299,202.94,208.37,47310989,2025-04-24,51.3841,AAPL
206.0,208.0,202.799,204.6,52929165,2025-04-23,49.0436,AAPL
196.12,201.59,195.97,199.74,52976371,2025-04-22,45.9276,AAPL
193.265,193.8,189.8112,193.16,46742537,2025-04-21,41.4243,AAPL
197.2,198.8335,194.42,196.98,52164675,2025-04-17,43.3715,AAPL
198.36,200.7,192.37,194.27,59732423,2025-04-16,41.5619,AAPL
201.855,203.51,199.8,202.14,51343872,2025-04-15,45.4811,AAPL
211.44,212.94,201.1621,202.52,101352911,2025-04-14,45.6742,AAPL
186.1,199.54,186.06,198.15,87435915,2025-04-11,43.0941,AAPL
189.065,194.7799,183.0,190.42,121879981,2025-04-10,38.2795,AAPL
171.95,200.61,171.89,198.85,184395885,2025-04-09,41.8665,AAPL
186.7,190.335,169.2101,172.42,120859491,2025-04-08,20.0578,AAPL
177.2,194.15,174.62,181.46,160466286,2025-04-07,22.771,AAPL
193.89,199.88,187.34,188.38,125910913,2025-04-04,25.1933,AAPL
205.54,207.49,201.25,203.19,103419006,2025-04-03,31.9469,AAPL
221.315,225.19,221.02,223.89,35905904,2025-04-02,48.9924,AAPL
219.805,223.68,218.9,223.19,36412740,2025-04-01,48.1232,AAPL
217.005,225.62,216.23,222.13,65299321,2025-03-31,46.8498,AAPL
221.67,223.81,217.68,217.9,39818617,2025-03-28,41.5312,AAPL
221.39,224.99,220.5601,223.85,37094774,2025-03-27,47.7755,AAPL
223.51,225.02,220.47,221.53,34532656,2025-03-26,44.7689,AAPL
220.77,224.1,220.08,223.75,34493583,2025-03-25,47.1825,AAPL
221.0,221.48,218.58,220.73,44299483,2025-03-24,43.3227,AAPL
211.56,218.84,211.28,218.27,94127768,2025-03-21,40.0065,AAPL
213.99,217.4899,212.22,214.1,48862947,2025-03-20,33.9208,AAPL
214.22,218.76,213.75,215.24,54385391,2025-03-19,34.8173,AAPL
214.16,215.15,211.49,212.69,42432426,2025-03-18,31.0309,AAPL
213.31,215.22,209.97,214.0,48073426,2025-03-17,31.9153,AAPL
211.25,213.95,209.58,213.49,60107582,2025-03-14,31.2065,AAPL
215.95,216.8394,208.42,209.68,61368330,2025-03-13,25.8519,AAPL
220.14,221.75,214.91,216.98,62547467,2025-03-12,30.0074,AAPL
223.805,225.8399,217.45,220.84,76137410,2025-03-11,32.5787,AAPL
235.54,236.16,224.22,227.48,71451281,2025-03-10,37.7448,AAPL
235.105,241.37,234.76,239.07,46273565,2025-03-07,50.8018,AAPL
234.435,237.86,233.1581,235.33,45170419,2025-03-06,45.1125,AAPL
235.42,236.55,229.23,235.74,47227643,2025-03-05,45.6498,AAPL
237.705,240.07,234.68,235.93,53798062,2025-03-04,45.8851,AAPL
241.79,244.0272,236.112,238.03,47183985,2025-03-03,48.4469,AAPL
236.95,242.09,230.2,241.84,56833360,2025-02-28,53.4768,AAPL
239.41,242.46,237.06,237.3,41153639,2025-02-27,47.4386,AAPL
244.33,244.98,239.13,240.36,44433564,2025-02-26,51.6328,AAPL
248.0,250.0,244.91,247.04,48013272,2025-02-25,62.907,AAPL
244.925,248.86,244.42,247.1,51326396,2025-02-24,63.0217,AAPL
245.95,248.69,245.22,245.55,53197431,2025-02-21,61.3293,AAPL
244.94,246.78,244.29,245.83,32316907,2025-02-20,61.8038,AAPL
244.66,246.01,243.1604,244.87,32204215,2025-02-19,60.8392,AAPL
244.15,245.18,241.84,244.47,48822491,2025-02-18,60.4528,AAPL
241.25,245.55,240.99,244.6,40896227,2025-02-14,60.6333,AAPL
236.91,242.3399,235.57,241.53,53614054,2025-02-13,57.8744,AAPL
231.2,236.96,230.68,236.87,45243292,2025-02-12,53.2571,AAPL
228.2,235.23,228.13,232.62,53718362,2025-02-11,48.4742,AAPL
229.57,230.585,227.2,227.65,33115645,2025-02-10,42.0335,AAPL
232.6,234.0,227.26,227.63,39707224,2025-02-07,41.6661,AAPL
231.285,233.8,230.425,233.22,29925349,2025-02-06,47.4481,AAPL
228.53,232.67,228.27,232.47,39664989,2025-02-05,46.5235,AAPL
227.25,233.13,226.65,232.8,45067301,2025-02-04,46.8604,AAPL
229.99,231.83,225.7,228.01,73063301,2025-02-03,41.1141,AAPL
247.19,247.19,233.44,236.0,101075128,2025-01-31,49.3858,AAPL
238.665,240.79,237.21,237.59,55658279,2025-01-30,51.2927,AAPL
234.12,239.855,234.01,239.36,45486100,2025-01-29,53.4251,AAPL
230.85,240.19,230.81,238.26,75707569,2025-01-28,52.2803,AAPL
224.02,232.15,223.98,229.86,94863418,2025-01-27,42.2072,AAPL
224.78,225.63,221.41,222.78,54697907,2025-01-24,30.7698,AAPL
224.74,227.03,222.3,223.66,60234760,2025-01-23,31.4891,AAPL
219.79,224.12,219.79,223.83,64126500,2025-01-22,31.6217,AAPL
224.0,224.42,219.38,222.64,98070429,2025-01-21,29.6975,AAPL
232.115,232.29,228.48,229.98,68488301,2025-01-17,35.4036,AAPL
237.35,238.01,228.03,228.26,71759052,2025-01-16,32.585,AAPL
234.635,238.96,234.43,237.87,39831969,2025-01-15,42.1198,AAPL
234.75,236.12,232.472,233.28,39435294,2025-01-14,33.4881,AAPL
233.53,234.67,229.72,234.4,49630725,2025-01-13,34.6592,AAPL
240.01,240.16,233.0,236.85,61710856,2025-01-10,37.3095,AAPL
241.92,243.7123,240.05,242.7,37628940,2025-01-08,44.9266,AAPL
242.98,245.55,241.35,242.21,40855960,2025-01-07,44.038,AAPL
244.31,247.33,243.2,245.0,45045571,2025-01-06,48.1452,AAPL
243.36,244.18,241.89,243.36,40244114,2025-01-03,45.3638,AAPL
248.93,249.1,241.8201,243.85,55740731,2025-01-02,46.0491,AAPL
252.44,253.28,249.43,250.42,39480718,2024-12-31,56.7159,AAPL
252.23,253.5,250.75,252.2,35557542,2024-12-30,60.2256,AAPL
257.83,258.7,253.06,255.59,42355321,2024-12-27,67.6263,AAPL
258.19,260.1,257.63,259.02,27262983,2024-12-26,76.4529,AAPL
255.49,258.21,255.29,258.2,23234705,2024-12-24,75.7503,AAPL
254.77,255.65,253.45,255.27,40858774,2024-12-23,73.0857,AAPL
248.04,255.0,245.69,254.49,147495267,2024-12-20,72.3342,AAPL
